Model,RMSE_mean,RMSE_std,NLL_mean,NLL_std
Baseline,0.08127067981580816,0.006496877011443048,-1.0155219143663363,0.04442528182075033
V1,0.057377296481498696,0.006197974988526314,-1.4258861874983246,0.09786160170958932
V2,0.10419432913685656,0.02081453995722745,-0.8107192038978634,0.1439061752891947
V3 (Variance-Greedy),0.121354241864287,0.017404119922927105,,0.0
V3 (Random),0.12348403925534528,0.0210229849257382,,0.0
V4 (Kernel-learning diversity),0.06509920946169263,0.004873959894776149,-1.2677163894002954,0.10638112015724187
